k,querytime,nb_threads
1,4.178026,64
3,5.476657,64
5,5.603062,64
10,5.775467,64
30,5.882001,64
50,6.028053,64
100,6.283949,64
300,6.482059,64
500,6.482064,64
1000,6.731362,64
1,1.055964,64
3,1.278877,64
5,1.452129,64
10,1.544797,64
30,1.706172,64
50,1.757141,64
100,1.960588,64
300,2.140402,64
500,2.321749,64
1000,2.346179,64
1,0.965036,64
3,1.246509,64
5,1.270738,64
10,1.497706,64
30,1.578675,64
50,1.658711,64
100,1.679450,64
300,1.986250,64
500,1.996024,64
1000,2.067973,64
1,0.805626,64
3,1.062133,64
5,1.141329,64
10,1.370734,64
30,1.483240,64
50,1.483242,64
100,1.483255,64
300,1.645976,64
500,1.671612,64
1000,1.779217,64
1,0.585580,64
3,0.942141,64
5,0.942141,64
10,0.942141,64
30,0.942142,64
50,0.942143,64
100,0.942145,64
300,1.021236,64
500,1.021258,64
1000,1.102757,64
